, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0893,0.0952,0.0905,0.0971,0.0923,0.0986,0.0973,0.0981,0.1019,0.0870,0.0945,0.0833,OD600:600
B,0.0980,0.5834,0.7019,0.7516,0.5992,0.6282,0.6141,0.7501,0.6958,0.6496,0.1091,0.1012,OD600:600
C,0.0998,0.4458,0.6297,0.8379,0.6381,0.6442,0.6635,0.8906,0.8707,0.8819,0.3488,0.1023,OD600:600
D,0.0981,0.2849,0.5285,0.4375,0.3752,0.4674,0.4490,0.5001,0.5199,0.4695,0.4252,0.1066,OD600:600
E,0.1018,0.1968,0.4005,0.3390,0.3697,0.3227,0.3241,0.3264,0.3508,0.3951,0.2355,0.1052,OD600:600
F,0.1057,0.1649,0.3366,0.2936,0.2850,0.3620,0.2832,0.3954,0.3346,0.3574,0.1533,0.2713,OD600:600
G,0.1075,0.1794,0.3897,0.2899,0.2956,0.3265,0.2191,0.2809,0.2979,0.3331,0.2999,0.1816,OD600:600
H,0.1011,0.3001,0.1495,0.1203,0.1094,0.1104,0.1169,0.1282,0.1113,0.1147,0.1019,0.0841,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,1000,0000,9000,0000,1600,6000,2000,9000,0000,0000,0000,479,520
B,0000,7560,8540,9700,1200,1300,7000,6060,5650,5510,1100,3000,479,520
C,1000,5200,4720,2980,3200,1100,0000,2000,2120,2530,8000,1000,479,520
D,0000,3420,1870,1220,0000,2200,0000,9800,9500,1140,0000,0000,479,520
E,1100,2020,6900,6300,1200,2100,0000,2100,2400,1900,1000,2000,479,520
F,1000,1920,4700,3800,9000,0000,4000,1200,3500,2500,1200,0000,479,520
G,0000,6400,3200,3500,0000,1700,0000,1000,6000,9000,4000,1000,479,520
H,1000,0000,1400,1200,1000,2000,0000,0000,1000,0000,0000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1000,2000,1000,1600,1700,2800,2300,0000,3300,0000,1100,2600,579,616
B,0000,9400,8200,9100,12530,11899,12633,5511,5225,4981,0000,8000,579,616
C,0000,5900,3400,4100,3475,3795,3016,1531,1530,1629,8000,1700,579,616
D,0000,6000,3400,6400,1613,2025,1541,7010,7420,6890,4000,2800,579,616
E,1200,0000,3300,3200,7330,7770,8080,2460,2780,2270,1000,1900,579,616
F,2600,1100,4100,8000,4490,4270,3620,1910,2010,1540,1000,1000,579,616
G,3000,2800,3000,8000,2510,2260,1570,1230,1240,1800,5000,1700,579,616
H,0000,2900,1600,0000,1000,7000,1400,1900,5000,3500,2300,1300,579,616
