, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.1020,0.1209,0.0836,0.0875,0.0844,0.0895,0.0935,0.0979,0.0968,0.1082,0.0872,0.0825,OD600:600
B,0.0847,0.9644,1.2088,1.2798,1.0759,1.0722,1.0589,1.2712,1.2281,1.2264,0.1025,0.0934,OD600:600
C,0.0892,0.8772,0.9170,0.9927,0.8027,0.8144,0.8067,0.9933,0.9802,1.0012,0.1182,0.0967,OD600:600
D,0.0879,0.4318,0.4414,0.6852,0.5610,0.5601,0.6140,0.7499,0.7660,0.6728,0.1389,0.0984,OD600:600
E,0.0865,0.2720,0.2822,0.3063,0.4167,0.4559,0.4666,0.4819,0.4842,0.4995,0.2858,0.0985,OD600:600
F,0.0884,0.2103,0.2325,0.3432,0.3540,0.3926,0.3883,0.4396,0.4180,0.4406,0.3243,0.1014,OD600:600
G,0.0945,0.1449,0.1433,0.1590,0.1497,0.1582,0.1565,0.1814,0.1597,0.1565,0.1165,0.1003,OD600:600
H,0.0822,0.1319,0.1313,0.0954,0.0991,0.0967,0.0997,0.0936,0.0951,0.0941,0.0914,0.0844,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0000,1770,0000,4000,0000,0000,3000,0000,2800,1700,0000,1300,479,520
B,0000,2574,2614,2781,5000,2600,2500,1999,1959,1985,0000,5000,479,520
C,8000,1983,1883,1840,1100,1100,4000,1142,1213,1272,7000,1800,479,520
D,0000,1062,9490,9710,0000,0000,1000,3150,4200,4780,0000,0000,479,520
E,2000,5730,5450,4040,1700,6000,0000,1010,1040,1080,0000,1000,479,520
F,0000,3840,3800,2820,1000,8000,8000,7000,6100,5200,0000,1000,479,520
G,8000,1170,1110,1010,5000,1400,3000,5100,7800,6900,1400,1000,479,520
H,9000,1300,1290,9000,2000,8000,6000,0000,9000,0000,0000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,5000,9000,1900,5000,3400,3000,0000,2700,1400,2700,1700,2200,579,616
B,1600,9600,1110,7400,28446,28151,28227,8115,8456,8361,0000,2700,579,616
C,1700,4400,2300,4500,19371,18167,18078,5970,6109,6090,1500,2000,579,616
D,1100,4500,1900,5800,6258,4365,4115,1441,2081,2297,1100,1800,579,616
E,1300,2000,2900,1400,2774,2045,1956,5110,5340,7080,0000,1800,579,616
F,4100,4200,1200,2100,2099,1199,1073,2750,2750,3600,0000,6000,579,616
G,1200,0000,0000,0000,8140,6450,7500,2040,2360,1950,1300,0000,579,616
H,2300,3700,2900,6000,1400,1000,1000,2000,6000,1500,2700,0000,579,616
