, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,0.0839,0.0883,0.0885,0.0920,0.0915,0.1000,0.0949,0.0954,0.0965,0.0889,0.0969,0.1020,OD600:600
B,0.1048,1.0240,1.0031,1.0025,0.6495,0.6577,0.6497,1.0069,1000,1.0097,0.1085,0.1098,OD600:600
C,0.1095,0.8240,0.8055,0.7930,0.4781,0.4787,0.4741,0.7954,0.7912,0.7959,0.1038,0.0996,OD600:600
D,0.1014,0.5656,0.5475,0.5542,0.2797,0.2787,0.2763,0.5340,0.5406,0.5199,0.1043,0.1017,OD600:600
E,0.1054,0.3585,0.3514,0.3475,0.1682,0.1687,0.1670,0.3314,0.3031,0.2941,0.1037,0.0979,OD600:600
F,0.1044,0.2442,0.2140,0.1938,0.1268,0.1256,0.1295,0.1857,0.1869,0.1855,0.1079,0.0999,OD600:600
G,0.1042,0.1310,0.1463,0.1273,0.1164,0.1150,0.1138,0.1228,0.1235,0.1188,0.1062,0.0954,OD600:600
H,0.0818,0.1237,0.0981,0.1016,0.1015,0.1026,0.1065,0.0956,0.0936,0.0923,0.0826,0.0834,OD600:600



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,3000,7000,2200,0000,4000,0000,2100,1700,0000,0000,4000,2000,479,520
B,0000,1212,1171,1204,9000,2000,2100,9770,1007,1007,8000,0000,479,520
C,0000,9940,9520,9510,2100,2200,6000,7890,8100,7810,0000,3000,479,520
D,1400,6140,5950,5810,0000,1000,3000,5170,5400,4750,1700,0000,479,520
E,1100,3360,3490,3240,2000,1000,0000,2290,1920,2160,0000,2000,479,520
F,1000,1840,1260,1280,1100,4000,0000,9600,1050,1020,1500,0000,479,520
G,0000,3700,6400,4200,0000,0000,7000,4100,5000,2300,3000,4000,479,520
H,1200,1600,9000,0000,0000,7000,1600,2000,3000,0000,3000,0000,479,520



, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Wave Length
A,1200,0000,0000,2500,7000,3800,0000,1700,8000,2100,2900,2100,579,616
B,9000,1100,2900,4400,12673,12449,12579,2116,2360,2144,1300,1100,579,616
C,4000,2700,3300,1700,8857,8884,8763,1524,1339,1224,0000,0000,579,616
D,1000,4300,2000,2300,4507,4956,5107,7500,6990,6930,0000,4000,579,616
E,1100,1000,0000,8000,1905,2021,1778,2970,3310,3250,1300,2100,579,616
F,1400,0000,0000,2900,9550,8410,8770,1570,1730,1930,1100,2300,579,616
G,1800,1000,1000,7000,4790,3300,3790,1400,1190,1330,7000,1600,579,616
H,2600,0000,2400,2200,1800,0000,2600,2100,4400,3000,3000,1200,579,616
