project,exp_ID,linegroup,Experimenter,Experiment description,Date,Device,Temperature,Shaking,CO2,species,carbon_source,cs_conc,base_media,inhibitor,inhibitor_conc,comments
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_B1,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At chemostat,Succinate+Glucose Outflow,30,M9,,0,
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_B10,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At chemostat,Succinate+Glucose,30,M9,,0,
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_B11,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At chemostat,Succinate+Glucose Outflow,30,M9,,0,
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_B12,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At chemostat,Succinate+Glucose Outflow,30,M9,,0,
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_B2,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At chemostat,Succinate,15,M9,,0,
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_B3,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At chemostat,Succinate,15,M9,,0,
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_B4,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At chemostat,Succinate,15,M9,,0,
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_B5,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At chemostat,Glucose,15,M9,,0,
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_B6,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At chemostat,Glucose,15,M9,,0,
251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves,251214_at_chemostat_growth_curves_251214_at_chemostat_growth_curves_B7,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,At chemostat,Glucose,15,M9,,0,
