project,exp_ID,linegroup,Experimenter,Experiment description,Date,Device,Temperature,Shaking,CO2,species,carbon_source,cs_conc,base_media,inhibitor,inhibitor_conc,comments
261219_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves_A1,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,Oa,Succinate spent medium,15,M9,,0,
261219_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves_A10,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,Oa,Succinate+Glucose outflow spent medium,30,M9,,0,
261219_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves_A11,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,Oa,Succinate+Glucose outflow spent medium,30,M9,,0,
261219_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves_A12,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,Oa,Succinate+Glucose outflow spent medium,30,M9,,0,
261219_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves_A2,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,Oa,Succinate spent medium,15,M9,,0,
261219_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves_A3,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,Oa,Succinate spent medium,15,M9,,0,
261219_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves_A4,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,Oa,Glucose spent medium,15,M9,,0,
261219_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves_A5,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,Oa,Glucose spent medium,15,M9,,0,
261219_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves_A6,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,Oa,Glucose spent medium,15,M9,,0,
261219_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves,261219_oa_chemostat_growth_curves_260119_oa_chemostat_growth_curves_A7,Eric,Growth curves of At grown in chemostat either directly from the reactors culture or from pellet,18.10.25,Biotek H1,28,Y,N,Oa,Succinate+Glucose spent medium,15,M9,,0,
