Sample,,,,,,,Norvaline Results,Succinate Results,Norleucine Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,,,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,Area,Area,Area,Area,Area,Sample type,Concentration [mM],Well
,,A03_FM_glucose_T0_2_5,A03_FM_glucose_T0_2_5.D,Sample,,2/11/2026 10:36 AM,448620,290,433246,4532468,667709,549466,Glucose,2.5,A3
,,C03_FM_glucose_T0_0_15625,C03_FM_glucose_T0_0_15625.D,Sample,,2/11/2026 8:08 AM,444152,270,412976,741771,88450,482488,Glucose,0.625,C3
,!,E03_FM_glucose_T0_0_00488,E03_FM_glucose_T0_0_00488.D,Sample,,2/11/2026 4:52 AM,430699,209,418716,114119,15511,411540,Glucose,0.15625,E3
,!,G03_FM_glucose_T0_0_00031,G03_FM_glucose_T0_0_00031.D,Sample,,2/11/2026 2:24 AM,453141,170,435339,27008,4018,353967,Glucose,0.03906,G3
,!,A02_FM_blank_None_None,A02_FM_blank_None_None.D,Blank,,2/11/2026 12:34 AM,1048,463,463,12309,2182,106,Blank,0,A2
,!,H01_FM_succinate_T0_0_00011,H01_FM_succinate_T0_0_00011.D,Sample,,2/11/2026 1:47 AM,434982,283,417379,10597,1517,353271,Succinate,0.00011,H1
,!,D03_FM_glucose_T0_0_03906,D03_FM_glucose_T0_0_03906.D,Sample,,2/11/2026 6:55 AM,431354,363,423306,9848,1558,406774,Glucose,0.00122,D3
,!,H03_FM_glucose_T0_0_00008,H03_FM_glucose_T0_0_00008.D,Sample,,2/11/2026 1:10 AM,444493,414,427696,9498,1578,248148,Glucose,0.00008,H3
,!,G01_FM_succinate_T0_0_00046,G01_FM_succinate_T0_0_00046.D,Sample,,2/11/2026 3:01 AM,328927,6819,332115,9428,1675,287932,Succinate,0.05859,G1
,!,C01_FM_succinate_T0_0_23438,C01_FM_succinate_T0_0_23438.D,Sample,,2/11/2026 8:45 AM,430105,187592,487176,9259,1563,384980,Succinate,0.9375,C1
!,!,E01_FM_succinate_T0_0_00732,E01_FM_succinate_T0_0_00732.D,Sample,,2/11/2026 5:29 AM,336871,35802,367887,9257,1544,313142,Succinate,0.23438,E1
,!,B01_FM_succinate_T0_0_9375,B01_FM_succinate_T0_0_9375.D,Sample,,2/11/2026 9:59 AM,446951,1817,449019,9183,1394,407887,Succinate,0.00732,B1
,!,F03_FM_glucose_T0_0_00122,F03_FM_glucose_T0_0_00122.D,Sample,,2/11/2026 3:38 AM,470979,482,456714,9125,1559,410744,Glucose,0.00031,F3
,!,F01_FM_succinate_T0_0_00183,F01_FM_succinate_T0_0_00183.D,Sample,,2/11/2026 4:15 AM,461903,304,445076,9091,1447,391600,Succinate,0.00046,F1
,!,D01_FM_succinate_T0_0_05859,D01_FM_succinate_T0_0_05859.D,Sample,,2/11/2026 7:31 AM,457827,702,453769,8831,1525,420137,Succinate,0.00183,D1
,!,A01_FM_succinate_T0_3_75,A01_FM_succinate_T0_3_75.D,Sample,,2/11/2026 11:13 AM,454341,1055804,566331,8755,1611,396399,Succinate,3.75,A1
,!,B02_FM_blank_None_None,B02_FM_blank_None_None.D,Blank,,2/11/2026 6:18 AM,829,262,453,7405,1294,24,Blank,0,B2
,!,C02_FM_blank_None_None,C02_FM_blank_None_None.D,Blank,,2/11/2026 11:50 AM,791,384,275,6990,1326,17,Blank,0,C2
