id,sample_name,fname,norvaline_area,succinate_area,norleucine_area,glucose1_area,glucose2_area,sorbitol_area,ribose_area,glucose_area,glucose_area_normalized,succinate_area_normalized,ribose_area_normalized
P1B08,B08_P1_AtOa_0.00000_2.50000_T1,B08_P1_AtOa_0_00000_2_50000_T1.D,338461,867,292549,6593428,1082548.0,496753,23438.0,7675976.0,15.452299231207462,0.002561594984355657,0.04718240252197772
P2A02,A02_P2_AtC2_3.75000_2.50000_T0,A02_P2_AtC2_3_75000_2_50000_T0.D,937335,703,999793,19505214,4045198.0,1035540,42791.0,23550412.0,22.742155783455974,0.0007499986664319586,0.04132240183865423
P2H08,H08_P2_AtOaC2_3.75000_2.50000_T7,H08_P2_AtOaC2_3_75000_2_50000_T7.D,1095211,251,1199343,825,104.0,1056445,78.0,929.0,0.0008793642830436037,0.00022917958274706882,7.383252322648126e-05
P2D05,D05_P2_OaC2_3.75000_2.50000_T3,D05_P2_OaC2_3_75000_2_50000_T3.D,968996,993,1060671,472,77.0,933963,18.0,549.0,0.0005878177186890701,0.0010247720320826917,1.9272712088166235e-05
P2H04,H04_P2_Oa_3.75000_2.50000_T7,H04_P2_Oa_3_75000_2_50000_T7.D,1000468,262,1106293,364,70.0,914107,28.0,434.0,0.0004747803047126868,0.0002618774413574447,3.06309874008185e-05
P2G07,G07_P2_AtOa_3.75000_2.50000_T6,G07_P2_AtOa_3_75000_2_50000_T6.D,942280,370,1032611,315,54.0,872449,6.0,369.0,0.0004229473585275472,0.000392664600755614,6.8771928215861325e-06
P1A07,A07_P1_AtOa_3.75000_0.00000_T0,A07_P1_AtOa_3_75000_0_00000_T0.D,99957,234419,853,81616,12408.0,865685,87.0,94024.0,0.10861225503503007,2.3451984353271906,0.00010049844920496485
P2H06,H06_P2_FM_0.00000_0.00008_T0,H06_P2_FM_0_00000_0_00008_T0.D,83,59,96,12,11.0,31,182.0,23.0,0.7419354838709677,0.7108433734939759,5.870967741935484
P2G08,G08_P2_AtOaC2_3.75000_2.50000_T6,G08_P2_AtOaC2_3_75000_2_50000_T6.D,942280,57,1032611,12,8.0,872449,112.0,20.0,2.2923976071953776e-05,6.049157362991892e-05,0.00012837426600294114
P2E02,E02_P2_AtC2_3.75000_2.50000_T4,E02_P2_AtC2_3_75000_2_50000_T4.D,919123,1103,941622,348,,1044004,22.0,348.0,0.0003333320561990184,0.0012000570108679687,2.1072716196489668e-05
P1B09,B09_P1_none_0.00000_0.00000_none,B09_P1_none_0_00000_0_00000_none.D,2234,541,1741,60,,41,40.0,60.0,1.4634146341463414,0.2421665174574754,0.975609756097561
P1B04,B04_P1_Oa_3.75000_0.00000_T1,B04_P1_Oa_3_75000_0_00000_T1.D,986105,446787,1152995,120,6.0,947845,66.0,126.0,0.0001329331272518186,0.4530825824836098,6.963163808428593e-05
P2E04,E04_P2_Oa_3.75000_2.50000_T4,E04_P2_Oa_3_75000_2_50000_T4.D,790766,975338,929545,5831212,919980.0,864758,23492.0,6751192.0,7.807030406194565,1.2334091248232726,0.027165981696613387
