Name,Data File,Type,Level,Acq. Date-Time,Norvaline Results,Succinate Results,Norleucine Results,Ribose Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,Sugar Results
G02_P1_At_0_00000_2_50000_T6,G02_P1_At_0_00000_2_50000_T6.D,Sample,,2/26/2026 12:10,1005219,641,1112486,118226,21973311,4755886,1063062,396520
F08_P1_AtOa_0_00000_2_50000_T5,F08_P1_AtOa_0_00000_2_50000_T5.D,Sample,,2/28/2026 23:07,956940,523,1035606,94092,21229368,4476527,1100937,370252
F05_P2_OaC2_3_75000_2_50000_T5,F05_P2_OaC2_3_75000_2_50000_T5.D,Sample,,2/28/2026 4:39,1014295,793,1121847,93371,20921472,4389786,1096285,354396
G08_P1_AtOa_0_00000_2_50000_T6,G08_P1_AtOa_0_00000_2_50000_T6.D,Sample,,2/27/2026 9:36,1066901,264,1199407,82428,20666197,4359373,1092974,305690
F08_P2_AtOaC2_3_75000_2_50000_T5,F08_P2_AtOaC2_3_75000_2_50000_T5.D,Sample,,2/28/2026 14:47,1007263,603,1114086,101918,20575975,4340588,1077915,385217
A05_P1_Oa_0_00000_2_50000_T0,A05_P1_Oa_0_00000_2_50000_T0.D,Sample,,2/28/2026 17:09,1019865,772,1133739,91965,20224730,4238647,1107363,336915
H01_P1_At_3_75000_0_00000_T7,H01_P1_At_3_75000_0_00000_T7.D,Sample,,2/27/2026 12:00,973581,619,1071041,92474,20042839,4122440,1019859,342398
A02_P2_AtC2_3_75000_2_50000_T0,A02_P2_AtC2_3_75000_2_50000_T0.D,Sample,,2/25/2026 18:36,937335,703,999793,42791,19505214,4045198,1035540,103705
D08_P2_AtOaC2_3_75000_2_50000_T3,D08_P2_AtOaC2_3_75000_2_50000_T3.D,Sample,,2/28/2026 18:20,822737,587,921218,79628,19353269,3948789,912932,301445
F06_P2_FM_0_00000_0_00122_T0,F06_P2_FM_0_00000_0_00122_T0.D,Sample,,2/28/2026 9:25,1063891,536,1166364,50590,14108622,2600583,1104629,162469
D01_P1_At_3_75000_0_00000_T3,D01_P1_At_3_75000_0_00000_T3.D,Sample,,2/26/2026 9:48,1005542,497,1118170,57183,13789158,2571546,1050595,164600
C01_P2_At_3_75000_2_50000_T2,C01_P2_At_3_75000_2_50000_T2.D,Sample,,2/27/2026 0:41,1024194,343,1155177,49610,13528851,2493098,1012613,159255
B08_P2_AtOaC2_3_75000_2_50000_T1,B08_P2_AtOaC2_3_75000_2_50000_T1.D,Sample,,2/28/2026 16:34,1054080,1226,1171980,46973,13469396,2458315,1143610,149092
G02_P2_AtC2_3_75000_2_50000_T6,G02_P2_AtC2_3_75000_2_50000_T6.D,Sample,,2/27/2026 4:51,929868,371,1050181,46533,13348765,2473297,914122,149549
E01_P2_At_3_75000_2_50000_T4,E01_P2_At_3_75000_2_50000_T4.D,Sample,,2/27/2026 9:00,1015495,496,1138214,42199,12269683,2204761,1050687,131762
G01_P2_At_3_75000_2_50000_T6,G01_P2_At_3_75000_2_50000_T6.D,Sample,,2/28/2026 8:14,859387,579,944432,37078,11267236,1971847,876842,106651
H02_P2_AtC2_3_75000_2_50000_T7,H02_P2_AtC2_3_75000_2_50000_T7.D,Sample,,2/28/2026 4:03,760953,218,835796,33719,10442519,1798285,760447,102696
E03_P1_FM_0_00732_0_00000_T0,E03_P1_FM_0_00732_0_00000_T0.D,Sample,,2/28/2026 14:09,1084129,451,1183395,28687,8551000,1417042,1165257,71686
F06_P1_FM_0_00000_0_00122_T0,F06_P1_FM_0_00000_0_00122_T0.D,Sample,,2/27/2026 3:05,1034950,472,1164830,26148,7714549,1286091,1057609,73551
A07_P2_AtOa_3_75000_2_50000_T0,A07_P2_AtOa_3_75000_2_50000_T0.D,Sample,,2/26/2026 4:52,999573,2272151,1237921,27934,7655636,1262991,1116501,66450
A06_P1_FM_0_00000_2_50000_T0,A06_P1_FM_0_00000_2_50000_T0.D,Sample,,2/26/2026 15:08,1023386,285,1152257,28574,7518094,1241885,1034509,67400
A04_P2_Oa_3_75000_2_50000_T0,A04_P2_Oa_3_75000_2_50000_T0.D,Sample,,2/26/2026 4:16,1043744,2206908,1281397,22684,7333558,1202616,1099540,52368
E08_P2_AtOaC2_3_75000_2_50000_T4,E08_P2_AtOaC2_3_75000_2_50000_T4.D,Sample,,2/28/2026 10:36,963417,502,1049191,24350,7257759,1163574,1030654,61087
H07_P1_AtOa_3_75000_0_00000_T7,H07_P1_AtOa_3_75000_0_00000_T7.D,Sample,,2/27/2026 19:44,963954,1272,1075007,22602,7242370,1178855,979241,59118
H08_P1_AtOa_0_00000_2_50000_T7,H08_P1_AtOa_0_00000_2_50000_T7.D,Sample,,2/27/2026 14:22,962891,798,1083192,23680,7173756,1171061,1018646,59767
F01_P2_At_3_75000_2_50000_T5,F01_P2_At_3_75000_2_50000_T5.D,Sample,,2/26/2026 17:32,1016022,1164,1119348,23506,7073491,1154765,1026260,58687
E08_P1_AtOa_0_00000_2_50000_T4,E08_P1_AtOa_0_00000_2_50000_T4.D,Sample,,2/28/2026 0:30,1018423,374,1139656,22579,7016511,1113241,1059032,60101
B01_P2_At_3_75000_2_50000_T1,B01_P2_At_3_75000_2_50000_T1.D,Sample,,2/27/2026 10:49,1003940,1282,1124533,23706,6977370,1126597,1039897,60457
B04_P2_Oa_3_75000_2_50000_T1,B04_P2_Oa_3_75000_2_50000_T1.D,Sample,,2/27/2026 13:11,118507,2157097,163261,22055,6940654,1126446,88009,60176
B02_P1_At_0_00000_2_50000_T1,B02_P1_At_0_00000_2_50000_T1.D,Sample,,2/28/2026 20:07,737451,511,793002,23193,6794871,1072100,838696,56810
F01_P1_At_3_75000_0_00000_T5,F01_P1_At_3_75000_0_00000_T5.D,Sample,,2/28/2026 7:01,890141,1517873,1130689,18304,6732768,1075748,995543,49457
H05_P2_OaC2_3_75000_2_50000_T7,H05_P2_OaC2_3_75000_2_50000_T7.D,Sample,,2/26/2026 23:30,969638,284,1091841,22828,6707552,1082131,968111,54355
D06_P1_FM_0_00000_0_03906_T0,D06_P1_FM_0_00000_0_03906_T0.D,Sample,,2/28/2026 12:58,997484,251,1095170,21537,6694719,1061926,1056628,52275
D07_P1_AtOa_3_75000_0_00000_T3,D07_P1_AtOa_3_75000_0_00000_T3.D,Sample,,2/27/2026 5:27,1018718,500,1149900,23289,6616769,1056196,1031372,53740
D01_P2_At_3_75000_2_50000_T3,D01_P2_At_3_75000_2_50000_T3.D,Sample,,2/26/2026 6:39,977722,606,1105443,22337,6610064,1074509,991671,50758
B08_P1_AtOa_0_00000_2_50000_T1,B08_P1_AtOa_0_00000_2_50000_T1.D,Sample,,2/25/2026 18:00,338461,867,292549,23438,6593428,1082548,496753,21477
D04_P2_Oa_3_75000_2_50000_T3,D04_P2_Oa_3_75000_2_50000_T3.D,Sample,,2/28/2026 5:50,861105,1844696,1070161,20298,6535355,1039254,952115,50643
C08_P2_AtOaC2_3_75000_2_50000_T2,C08_P2_AtOaC2_3_75000_2_50000_T2.D,Sample,,2/27/2026 21:30,668953,325,731199,20879,6396685,1014407,700163,55042
F03_P1_FM_0_00183_0_00000_T0,F03_P1_FM_0_00183_0_00000_T0.D,Sample,,2/28/2026 5:14,898973,332,998944,18440,6197750,981663,931982,47268
F07_P2_AtOa_3_75000_2_50000_T5,F07_P2_AtOa_3_75000_2_50000_T5.D,Sample,,2/26/2026 21:43,917383,572,1025965,17560,6169685,997877,927311,41956
C09_P1_none_0_00000_0_00000_none,C09_P1_none_0_00000_0_00000_none.D,Sample,,3/1/2026 0:53,487435,566,518440,19837,6000419,936257,529983,45507
F04_P1_Oa_3_75000_0_00000_T5,F04_P1_Oa_3_75000_0_00000_T5.D,Sample,,2/27/2026 6:38,927409,323,1021740,20625,5995680,944419,935269,49979
E05_P1_Oa_0_00000_2_50000_T4,E05_P1_Oa_0_00000_2_50000_T4.D,Sample,,2/27/2026 6:02,878609,301,983087,19542,5969217,943705,889859,46468
E03_P2_FM_0_00732_0_00000_T0,E03_P2_FM_0_00732_0_00000_T0.D,Sample,,2/27/2026 10:13,799184,1353661,1008843,18397,5888418,933798,822956,47066
