,Data File,Type,Level,Acq. Date-Time,Norvaline Results,Succinate Results,Norleucine Results,Ribose Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,Sugar Results
B08_P1_AtOa_0_00000_2_50000_T1,B08_P1_AtOa_0_00000_2_50000_T1.D,Sample,,2/25/2026 18:00,338461.0,867,292549,23438.0,6593428,1082548.0,496753,21477.0
A02_P2_AtC2_3_75000_2_50000_T0,A02_P2_AtC2_3_75000_2_50000_T0.D,Sample,,2/25/2026 18:36,937335.0,703,999793,42791.0,19505214,4045198.0,1035540,103705.0
H08_P2_AtOaC2_3_75000_2_50000_T7,H08_P2_AtOaC2_3_75000_2_50000_T7.D,Sample,,2/25/2026 19:11,71973.0,251,72267,78.0,825,104.0,38599,
D05_P2_OaC2_3_75000_2_50000_T3,D05_P2_OaC2_3_75000_2_50000_T3.D,Sample,,2/25/2026 19:47,968996.0,993,1060671,18.0,472,77.0,933963,19.0
H04_P2_Oa_3_75000_2_50000_T7,H04_P2_Oa_3_75000_2_50000_T7.D,Sample,,2/25/2026 20:22,1000468.0,262,1106293,28.0,364,70.0,914107,60.0
G07_P2_AtOa_3_75000_2_50000_T6,G07_P2_AtOa_3_75000_2_50000_T6.D,Sample,,2/25/2026 20:58,942280.0,370,1032611,6.0,315,54.0,872449,
A07_P1_AtOa_3_75000_0_00000_T0,A07_P1_AtOa_3_75000_0_00000_T0.D,Sample,,2/25/2026 21:34,,234419,853,87.0,81616,12408.0,865685,189.0
H06_P2_FM_0_00000_0_00008_T0,H06_P2_FM_0_00000_0_00008_T0.D,Sample,,2/25/2026 22:09,83.0,59,96,182.0,12,11.0,31,
G08_P2_AtOaC2_3_75000_2_50000_T6,G08_P2_AtOaC2_3_75000_2_50000_T6.D,Sample,,2/25/2026 22:45,259.0,57,170,112.0,12,8.0,16,94.0
E02_P2_AtC2_3_75000_2_50000_T4,E02_P2_AtC2_3_75000_2_50000_T4.D,Sample,,2/25/2026 23:20,919123.0,1103,941622,22.0,348,,1044004,43.0
B09_P1_none_0_00000_0_00000_none,B09_P1_none_0_00000_0_00000_none.D,Sample,,2/25/2026 23:56,2234.0,541,1741,40.0,60,,41,58.0
B04_P1_Oa_3_75000_0_00000_T1,B04_P1_Oa_3_75000_0_00000_T1.D,Sample,,2/26/2026 0:31,986105.0,446787,1152995,66.0,120,6.0,947845,
E04_P2_Oa_3_75000_2_50000_T4,E04_P2_Oa_3_75000_2_50000_T4.D,Sample,,2/26/2026 1:19,790766.0,975338,929545,23492.0,5831212,919980.0,864758,43476.0
B05_P2_OaC2_3_75000_2_50000_T1,B05_P2_OaC2_3_75000_2_50000_T1.D,Sample,,2/26/2026 1:54,598180.0,998,641921,12005.0,3368807,496271.0,663256,21514.0
G06_P1_FM_0_00000_0_00031_T0,G06_P1_FM_0_00000_0_00031_T0.D,Sample,,2/26/2026 2:30,905969.0,97,1014802,32.0,1913,311.0,878906,
C09_P2_none_0_00000_0_00000_none,C09_P2_none_0_00000_0_00000_none.D,Sample,,2/26/2026 3:05,1056.0,425,1229,6.0,117,14.0,13,24.0
F03_P2_FM_0_00183_0_00000_T0,F03_P2_FM_0_00183_0_00000_T0.D,Sample,,2/26/2026 3:41,829211.0,920,936016,12.0,220,8.0,690598,25.0
A04_P2_Oa_3_75000_2_50000_T0,A04_P2_Oa_3_75000_2_50000_T0.D,Sample,,2/26/2026 4:16,1043744.0,2206908,1281397,22684.0,7333558,1202616.0,1099540,52368.0
A07_P2_AtOa_3_75000_2_50000_T0,A07_P2_AtOa_3_75000_2_50000_T0.D,Sample,,2/26/2026 4:52,999573.0,2272151,1237921,27934.0,7655636,1262991.0,1116501,66450.0
