in,id,sample_name,fname,norvaline_area,succinate_area,norleucine_area,glucose1_area,glucose2_area,sorbitol_area,glucose_area,glucose_area_normalized,succinate_area_normalized,plate,well,row,col,glucose_ratio,succinate_ratio,exp_glucose,exp_succinate,is_blankcol,thr_glucose,thr_succinate,glucose_present,succinate_present,mixup_flag,reasons
1,P1B08,B08_P1_AtOa_0.00000_2.50000_T1,B08_P1_AtOa_0_00000_2_50000_T1.D,339391.0,843.0,292636.0,6593428,1082548.0,496753,7675976.0,22.6169108786031,0.0024838607977229,P1,B08,B,8,15.452299231207462,0.00248386079772298,True,False,False,,,False,False,True,glucose_presence_mismatch
2,P2A02,A02_P2_AtC2_3.75000_2.50000_T0,A02_P2_AtC2_3_75000_2_50000_T0.D,935294.0,633.0,997131.0,19505214,4045198.0,1035540,23550412.0,25.17968895342,0.0006767925379613,P2,A02,A,2,22.742155783455974,0.0006767925379613255,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
3,P2H08,H08_P2_AtOaC2_3.75000_2.50000_T7,H08_P2_AtOaC2_3_75000_2_50000_T7.D,72303.0,219.0,71351.0,825,104.0,38599,929.0,0.012848706139441,0.0030289199618273,P2,H08,H,8,0.02406798103577813,0.00302891996182731,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
4,P2D05,D05_P2_OaC2_3.75000_2.50000_T3,D05_P2_OaC2_3_75000_2_50000_T3.D,922288.0,585.0,1056794.0,472,77.0,933963,549.0,0.0005952587478097,0.0006342921083219,P2,D05,D,5,0.0005878177186890701,0.0006342921083219125,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
5,P2H04,H04_P2_Oa_3.75000_2.50000_T7,H04_P2_Oa_3_75000_2_50000_T7.D,994989.0,219.0,1102157.0,364,70.0,914107,434.0,0.0004361857266763,0.0002201029358113,P2,H04,H,4,0.0004747803047126868,0.00022010293581135068,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
6,P2G07,G07_P2_AtOa_3.75000_2.50000_T6,G07_P2_AtOa_3_75000_2_50000_T6.D,934708.0,308.0,1028401.0,315,54.0,872449,369.0,0.0003947756946554,0.0003295146719617,P2,G07,G,7,0.0004229473585275472,0.00032951467196172497,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
7,P1A07,A07_P1_AtOa_3.75000_0.00000_T0,A07_P1_AtOa_3_75000_0_00000_T0.D,,289810.0,822.0,81616,12408.0,865685,94024.0,,,P1,A07,A,7,0.10861225503503007,,False,True,False,,,False,False,True,succinate_presence_mismatch
8,P2H06,H06_P2_FM_0.00000_0.00008_T0,H06_P2_FM_0_00000_0_00008_T0.D,378.0,42.0,,12,11.0,31,23.0,0.0608465608465608,0.111111111111111,P2,H06,H,6,0.7419354838709439,0.11111111111111081,True,False,False,,,False,False,True,glucose_presence_mismatch
9,P2G08,G08_P2_AtOaC2_3.75000_2.50000_T6,G08_P2_AtOaC2_3_75000_2_50000_T6.D,197.0,,141.0,12,8.0,16,20.0,0.101522842639594,,P2,G08,G,8,1.249999999999922,,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
10,P2E02,E02_P2_AtC2_3.75000_2.50000_T4,E02_P2_AtC2_3_75000_2_50000_T4.D,908220.0,649.0,934752.0,348,,1044004,,,0.0007145845720199,P2,E02,E,2,,0.0007145845720199952,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
12,P1B04,B04_P1_Oa_3.75000_0.00000_T1,B04_P1_Oa_3_75000_0_00000_T1.D,974735.0,437693.0,1140692.0,120,6.0,947845,126.0,0.0001292659030403,0.449037943646222,P1,B04,B,4,0.0001329331272518186,0.4490379436462218,False,True,False,,,False,False,True,succinate_presence_mismatch
13,P2E04,E04_P2_Oa_3.75000_2.50000_T4,E04_P2_Oa_3_75000_2_50000_T4.D,747829.0,955714.0,943405.0,5831212,919980.0,864758,6751192.0,9.02772157806129,1.27798467296668,P2,E04,E,4,7.807030406194565,1.2779846729666808,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
14,P2B05,B05_P2_OaC2_3.75000_2.50000_T1,B05_P2_OaC2_3_75000_2_50000_T1.D,593650.0,487.0,635663.0,3368807,496271.0,663256,3865078.0,6.51070159184705,0.0008203486903057,P2,B05,B,5,5.827430132558168,0.0008203486903057357,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
15,P1G06,G06_P1_FM_0.00000_0.00031_T0,G06_P1_FM_0_00000_0_00031_T0.D,902055.0,101.0,1006662.0,1913,311.0,878906,2224.0,0.0024654815948029,0.0001119665652316,P1,G06,G,6,0.0025304184975412617,0.00011196656523161004,True,False,False,,,False,False,True,glucose_presence_mismatch
17,P2F03,F03_P2_FM_0.00183_0.00000_T0,F03_P2_FM_0_00183_0_00000_T0.D,824356.0,395.0,928144.0,220,8.0,690598,228.0,0.0002765795360256,0.0004791619154831,P2,F03,F,3,0.0003301486537754236,0.00047916191548311654,False,True,False,,,False,False,True,succinate_presence_mismatch
18,P2A04,A04_P2_Oa_3.75000_2.50000_T0,A04_P2_Oa_3_75000_2_50000_T0.D,1037952.0,2167414.0,1233626.0,7333558,1202616.0,1099540,8536174.0,8.22405467690221,2.08816399987668,P2,A04,A,4,7.76340469650945,2.0881639998766803,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
19,P2A07,A07_P2_AtOa_3.75000_2.50000_T0,A07_P2_AtOa_3_75000_2_50000_T0.D,1000263.0,2223367.0,1217282.0,7655636,1262991.0,1116501,8918627.0,8.91628201782931,2.22278240822664,P2,A07,A,7,7.988015236887383,2.2227824082266365,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
20,P1H04,H04_P1_Oa_3.75000_0.00000_T7,H04_P1_Oa_3_75000_0_00000_T7.D,1207874.0,782.0,1338204.0,567,153.0,1116676,720.0,0.0005960886648772,0.0006474185221306,P1,H04,H,4,0.0006447707302744932,0.0006474185221306196,False,True,False,,,False,False,True,succinate_presence_mismatch
21,P1E06,E06_P1_FM_0.00000_0.00488_T0,E06_P1_FM_0_00000_0_00488_T0.D,871617.0,342.0,1034698.0,3549,608.0,835902,4157.0,0.0047692966061928,0.0003923741735188,P1,E06,E,6,0.004973071005931317,0.00039237417351887355,True,False,False,,,False,False,True,glucose_presence_mismatch
22,P2D01,D01_P2_At_3.75000_2.50000_T3,D01_P2_At_3_75000_2_50000_T3.D,912760.0,651.0,1098761.0,6610064,1074509.0,991671,7684573.0,8.41905101012314,0.0007132214382751,P2,D01,D,1,7.749115382016818,0.0007132214382751216,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
23,P2B02,B02_P2_AtC2_3.75000_2.50000_T1,B02_P2_AtC2_3_75000_2_50000_T1.D,1042602.0,301.0,1178918.0,292889,35081.0,962526,327970.0,0.314568742434793,0.0002887007698047,P2,B02,B,2,0.3407388475739876,0.0002887007698047769,True,True,False,,,False,False,True,glucose_presence_mismatch;succinate_presence_mismatch
