species,reactor,sample_time,dilution,count,comment,Unnamed: 5,average,stdev,total,composition
at,M0,0.0,-5,10|12|14,At,T0,240000000.0,40000000.000000015,240000000.0,1.0
at,M1,0.0,-5,13|17|18,At,T0,319999999.99999994,52915026.22129178,319999999.99999994,1.0
at,M2,0.0,-5,11|15|12,At,T0,253333333.3333333,41633319.98932262,253333333.3333333,1.0
at,M3,0.0,-1,0|0|0,At,T0,0.0,0.0,0.0,
at,M0,23.15,-5,10|10|12,At,T1,213333333.3333333,23094010.767585047,213333333.3333333,1.0
at,M1,23.15,-5,3|4|2,At,T1,59999999.99999999,19999999.999999996,59999999.99999999,1.0
at,M2,23.15,-5,7|15|14,At,T1,239999999.99999997,87177978.87081344,239999999.99999997,1.0
at,M3,23.15,-6,5|7|7,At,T1,1266666666.6666667,230940107.6758503,1266666666.6666667,1.0
at,M0,29.4,-5,7|12|7,At,T2,173333333.33333334,57735026.918962575,173333333.33333334,1.0
at,M1,29.4,-5,8|7|10,At,T2,166666666.66666666,30550504.63303892,166666666.66666666,1.0
at,M2,29.4,-5,16|15|14,At,T2,299999999.99999994,19999999.99999997,299999999.99999994,1.0
at,M3,29.4,-6,7|7|10,At,T2,1600000000.0,346410161.51377547,1600000000.0,1.0
at,M0,47.06,-5,10|10|9,At,,193333333.3333333,11547005.383792516,193333333.3333333,1.0
at,M1,47.06,-4,16|22|22,At,,40000000.0,6928203.230275509,40000000.0,1.0
at,M2,47.06,-5,7|7|9,At,,153333333.3333333,23094010.767585013,153333333.3333333,1.0
at,M3,47.06,-6,7|6|6,At,,1266666666.6666667,115470053.83792515,1266666666.6666667,1.0
at,M0,54.05,-5,8|10|9,At,,179999999.99999997,20000000.0,179999999.99999997,1.0
at,M1,54.05,-4,30|25|22,At,,51333333.333333336,8082903.768654761,51333333.333333336,1.0
at,M2,54.05,-5,7|10|9,At,,173333333.3333333,30550504.633038916,173333333.3333333,1.0
at,M3,54.05,-6,11|11|8,At,,2000000000.0,346410161.51377547,2000000000.0,1.0
at,M0,71.8,-5,6|3|7,At,,106666666.66666667,41633319.989322655,106666666.66666667,1.0
at,M1,71.8,-4,15|20|18,At,,35333333.333333336,5033222.956847167,35333333.333333336,1.0
at,M2,71.8,-5,8|6|6,At,,133333333.33333333,23094010.767585013,133333333.33333333,1.0
at,M3,71.8,-6,4|7|8,At,,1266666666.6666667,416333199.89322656,1266666666.6666667,1.0
at,M0,77.13,-5,5|9|5,At,,126666666.66666664,46188021.535170056,126666666.66666664,1.0
at,M1,77.13,-4,30|25|20,At,,50000000.0,10000000.0,50000000.0,1.0
at,M2,77.13,-5,5|7|5,At,,113333333.33333333,23094010.76758504,113333333.33333333,1.0
at,M3,77.13,-6,8|7|7,At,,1466666666.6666667,115470053.83792515,1466666666.6666667,1.0
at,M0,96.3,-5,3|4|5,At,,79999999.99999999,19999999.999999993,79999999.99999999,1.0
at,M1,96.3,-5,2|5|3,At,,66666666.66666666,30550504.633038927,66666666.66666666,1.0
at,M2,96.3,-5,10|6|8,At,,159999999.99999997,39999999.999999985,159999999.99999997,1.0
at,M3,96.3,-6,20|30|35,At,,5666666666.666667,1527525231.6519468,5666666666.666667,1.0
oa,M0,0.0,-5,20|7|15,Oa,,279999999.99999994,131148770.48603998,279999999.99999994,1.0
oa,M1,0.0,-5,25|26|26,Oa,,513333333.3333333,11547005.383792516,513333333.3333333,1.0
oa,M2,0.0,-5,17|20|16,Oa,,353333333.33333325,41633319.989322655,353333333.33333325,1.0
oa,M3,0.0,-1,0|0|0,Oa,,0.0,0.0,0.0,
oa,M0,22.3,-6,4|4|6,Oa,,933333333.3333334,230940107.6758503,933333333.3333334,1.0
oa,M1,22.3,-4,20|25|22,Oa,,44666666.666666664,5033222.956847167,44666666.666666664,1.0
oa,M2,22.3,-5,20|24|20,Oa,,426666666.6666666,46188021.53517009,426666666.6666666,1.0
oa,M3,22.3,-7,2|3|3,Oa,,5333333333.333333,1154700538.3792515,5333333333.333333,1.0
oa,M0,28.3,-5,50|40|45,Oa,,900000000.0,100000000.00000006,900000000.0,1.0
oa,M1,28.3,-4,17|12|13,Oa,,28000000.0,5291502.622129181,28000000.0,1.0
oa,M2,28.3,-6,2|3|2,Oa,,466666666.6666667,115470053.83792515,466666666.6666667,1.0
oa,M3,28.3,-6,16|15|20,Oa,,3400000000.0,529150262.2129181,3400000000.0,1.0
oa,M0,46.0,-6,5|4|5,Oa,,933333333.3333334,115470053.83792515,933333333.3333334,1.0
oa,M1,46.0,-4,8|8|10,Oa,,17333333.333333332,2309401.076758503,17333333.333333332,1.0
oa,M2,46.0,-6,5|3|3,Oa,,733333333.3333334,230940107.6758503,733333333.3333334,1.0
oa,M3,46.0,-7,4|2|3,Oa,,6000000000.0,2000000000.0,6000000000.0,1.0
oa,M0,52.8,-6,10|12|10,Oa,,2133333333.3333333,230940107.6758503,2133333333.3333333,1.0
oa,M1,52.8,-4,12|8|8,Oa,,18666666.666666668,4618802.153517006,18666666.666666668,1.0
oa,M2,52.8,-6,6|5|4,Oa,,1000000000.0,200000000.0,1000000000.0,1.0
oa,M3,52.8,-7,4|4|3,Oa,,7333333333.333333,1154700538.3792515,7333333333.333333,1.0
oa,M0,69.94,-6,8|7|9,Oa,,1600000000.0,200000000.0,1600000000.0,1.0
oa,M1,69.94,-4,10|15|12,Oa,,24666666.666666668,5033222.956847167,24666666.666666668,1.0
oa,M2,69.94,-6,5|5|4,Oa,,933333333.3333334,115470053.83792515,933333333.3333334,1.0
oa,M3,69.94,-6,26|20|23,Oa,,4600000000.0,600000000.0,4600000000.0,1.0
oa,M0,77.7,-6,8|7|8,Oa,,1533333333.3333333,115470053.83792515,1533333333.3333333,1.0
oa,M1,77.7,-4,29|25|18,Oa,,48000000.0,11135528.725660045,48000000.0,1.0
oa,M2,77.7,-6,12|10|11,Oa,,2200000000.0,200000000.0,2200000000.0,1.0
oa,M3,77.7,-6,24|33|30,Oa,,5800000000.0,916515138.991168,5800000000.0,1.0
oa,M0,94.0,-6,7|8|7,Oa,,1466666666.6666667,115470053.83792515,1466666666.6666667,1.0
oa,M1,94.0,-5,5|6|5,Oa,,106666666.66666666,11547005.383792523,106666666.66666666,1.0
oa,M2,94.0,-6,21|20|23,Oa,,4266666666.6666665,305505046.3303893,4266666666.6666665,1.0
oa,M3,94.0,-7,3|3|2,Oa,,5333333333.333333,1154700538.3792515,5333333333.333333,1.0
at,M0,0.0,-6,3|3|1,AtOA,,466666666.6666667,230940107.6758503,800000000.0,0.5833333333333334
at,M1,0.0,-6,2|2|1,AtOA,,333333333.3333333,115470053.83792515,1000000000.0,0.3333333333333333
at,M2,0.0,-6,3|1|1,AtOA,,333333333.3333333,230940107.6758503,933333333.3333333,0.35714285714285715
at,M3,0.0,-1,0|0|0,AtOA,,0.0,0.0,0.0,
at,M0,24.3,-6,3|2|4,AtOA,,600000000.0,200000000.0,913333333.3333333,0.6569343065693432
at,M1,24.3,-5,5|5|6,AtOA,,106666666.66666666,11547005.383792523,144000000.0,0.7407407407407407
at,M2,24.3,-6,4|5|4,AtOA,,866666666.6666666,115470053.83792515,1113333333.3333333,0.7784431137724551
at,M3,24.3,-6,12|16|12,AtOA,,2666666666.6666665,461880215.3517006,3533333333.333333,0.7547169811320755
at,M0,29.3,-6,2|3|2,AtOA,,466666666.6666667,115470053.83792515,940000000.0,0.49645390070921985
at,M1,29.3,-5,8|6|5,AtOA,,126666666.66666666,30550504.633038923,150000000.0,0.8444444444444443
at,M2,29.3,-6,9|9|7,AtOA,,1666666666.6666667,230940107.6758503,1986666666.6666667,0.8389261744966443
at,M3,29.3,-6,22|15|14,AtOA,,3400000000.0,871779788.7081347,4466666666.666667,0.7611940298507462
at,M0,46.68,-6,4|3|2,AtOA,,600000000.0,200000000.0,1466666666.6666665,0.4090909090909091
at,M1,46.68,-5,3|3|2,AtOA,,53333333.33333333,11547005.38379252,60666666.666666664,0.8791208791208791
at,M2,46.68,-6,6|10|9,AtOA,,1666666666.6666667,416333199.89322656,2200000000.0,0.7575757575757576
at,M3,46.68,-6,8|12|13,AtOA,,2200000000.0,529150262.2129181,3333333333.333333,0.66
at,M0,54.124,-6,4|3|2,AtOA,,600000000.0,200000000.0,1800000000.0,0.3333333333333333
at,M1,54.124,-5,4|2|3,AtOA,,59999999.99999999,19999999.999999996,64266666.66666666,0.9336099585062241
at,M2,54.124,-6,7|8|7,AtOA,,1466666666.6666667,115470053.83792515,1853333333.3333335,0.7913669064748201
at,M3,54.124,-7,2|2|1,AtOA,,3333333333.3333335,1154700538.3792515,3866666666.666667,0.8620689655172413
at,M0,70.4,-6,1|3|2,AtOA,,400000000.0,200000000.0,1933333333.3333333,0.20689655172413793
at,M1,70.4,-5,4|6|5,AtOA,,99999999.99999999,20000000.000000007,114666666.66666666,0.872093023255814
at,M2,70.4,-6,6|9|9,AtOA,,1600000000.0,346410161.51377547,2266666666.6666665,0.7058823529411765
at,M3,70.4,-6,9|11|6,AtOA,,1733333333.3333333,503322295.68471664,2733333333.333333,0.6341463414634146
at,M0,78.0,-6,1|2|1,AtOA,,266666666.66666666,115470053.83792515,1733333333.3333335,0.15384615384615383
at,M1,78.0,-5,3|5|3,AtOA,,73333333.33333333,23094010.76758502,84000000.0,0.8730158730158729
at,M2,78.0,-6,9|5|9,AtOA,,1533333333.3333333,461880215.3517006,2333333333.333333,0.6571428571428573
at,M3,78.0,-6,13|14|15,AtOA,,2800000000.0,200000000.0,4000000000.0,0.7
at,M0,95.0,-5,4|10|7,AtOA,,140000000.0,59999999.99999999,1273333333.3333333,0.1099476439790576
at,M1,95.0,-5,4|6|7,AtOA,,113333333.33333333,30550504.63303894,134666666.66666666,0.8415841584158416
at,M2,95.0,-6,6|9|8,AtOA,,1533333333.3333333,305505046.3303893,2400000000.0,0.6388888888888888
at,M3,95.0,-6,6|6|10,AtOA,,1466666666.6666667,461880215.3517006,2333333333.3333335,0.6285714285714286
oa,M0,0.0,-6,2|1|2,AtOA,,333333333.3333333,115470053.83792515,800000000.0,0.41666666666666663
oa,M1,0.0,-6,4|4|2,AtOA,,666666666.6666666,230940107.6758503,1000000000.0,0.6666666666666666
oa,M2,0.0,-6,2|4|3,AtOA,,600000000.0,200000000.0,933333333.3333333,0.6428571428571429
oa,M3,0.0,-1,0|0|0,AtOA,,0.0,0.0,0.0,
oa,M0,24.3,-5,20|12|15,AtOA,,313333333.3333333,80829037.68654758,913333333.3333333,0.34306569343065696
oa,M1,24.3,-4,18|22|16,AtOA,,37333333.333333336,6110100.926607787,144000000.0,0.2592592592592593
oa,M2,24.3,-5,9|18|10,AtOA,,246666666.66666663,98657657.24632493,1113333333.3333333,0.22155688622754488
oa,M3,24.3,-6,4|4|5,AtOA,,866666666.6666666,115470053.83792515,3533333333.333333,0.24528301886792453
oa,M0,29.3,-5,22|27|22,AtOA,,473333333.3333333,57735026.918962575,940000000.0,0.5035460992907801
oa,M1,29.3,-4,12|15|8,AtOA,,23333333.333333332,7023769.168568493,150000000.0,0.15555555555555556
oa,M2,29.3,-5,14|17|17,AtOA,,319999999.99999994,34641016.151377514,1986666666.6666667,0.16107382550335567
oa,M3,29.3,-6,5|6|5,AtOA,,1066666666.6666666,115470053.83792515,4466666666.666667,0.2388059701492537
oa,M0,46.68,-6,5|4|4,AtOA,,866666666.6666666,115470053.83792515,1466666666.6666665,0.5909090909090909
oa,M1,46.68,-4,4|3|4,AtOA,,7333333.333333333,1154700.5383792515,60666666.666666664,0.12087912087912088
oa,M2,46.68,-6,2|3|3,AtOA,,533333333.3333333,115470053.83792515,2200000000.0,0.2424242424242424
oa,M3,46.68,-6,6|6|5,AtOA,,1133333333.3333333,115470053.83792515,3333333333.333333,0.34
oa,M0,54.124,-6,4|6|8,AtOA,,1200000000.0,400000000.0,1800000000.0,0.6666666666666666
oa,M1,54.124,-3,24|22|18,AtOA,,4266666.666666667,611010.0926607787,64266666.66666666,0.06639004149377595
