species,reactor,sample_time,dilution,count,comment,Unnamed: 5,average,stdev,total,composition
at,Succinate,0.0,-5,10|12|14,,T0,240000000.0,40000000.000000015,240000000.0,1.0
at,Glucose,0.0,-5,13|17|18,,T0,319999999.99999994,52915026.22129178,319999999.99999994,1.0
at,Succinate+Glucose,0.0,-5,11|15|12,,T0,253333333.3333333,41633319.98932262,253333333.3333333,1.0
at,Succinate+Glucose Outflow,0.0,-1,0|0|0,,T0,0.0,0.0,0.0,
at,Succinate,23.15,-5,10|10|12,,T1,213333333.3333333,23094010.767585047,213333333.3333333,1.0
at,Glucose,23.15,-5,3|4|2,,T1,59999999.99999999,19999999.999999996,59999999.99999999,1.0
at,Succinate+Glucose,23.15,-5,7|15|14,,T1,239999999.99999997,87177978.87081344,239999999.99999997,1.0
at,Succinate+Glucose Outflow,23.15,-6,5|7|7,,T1,1266666666.6666667,230940107.6758503,1266666666.6666667,1.0
at,Succinate,29.4,-5,7|12|7,,T2,173333333.33333334,57735026.918962575,173333333.33333334,1.0
at,Glucose,29.4,-5,8|7|10,,T2,166666666.66666666,30550504.63303892,166666666.66666666,1.0
at,Succinate+Glucose,29.4,-5,16|15|14,,T2,299999999.99999994,19999999.99999997,299999999.99999994,1.0
at,Succinate+Glucose Outflow,29.4,-6,7|7|10,,T2,1600000000.0,346410161.51377547,1600000000.0,1.0
at,Succinate,47.06,-5,10|10|9,,,193333333.3333333,11547005.383792516,193333333.3333333,1.0
at,Glucose,47.06,-4,16|22|22,16|22|22,,40000000.0,6928203.230275509,40000000.0,1.0
at,Succinate+Glucose,47.06,-5,7|7|9,,,153333333.3333333,23094010.767585013,153333333.3333333,1.0
at,Succinate+Glucose Outflow,47.06,-6,7|6|6,,,1266666666.6666667,115470053.83792515,1266666666.6666667,1.0
at,Succinate,54.05,-5,8|10|9,,,179999999.99999997,20000000.0,179999999.99999997,1.0
at,Glucose,54.05,-4,30|25|22,,,51333333.333333336,8082903.768654761,51333333.333333336,1.0
at,Succinate+Glucose,54.05,-5,7|10|9,,,173333333.3333333,30550504.633038916,173333333.3333333,1.0
at,Succinate+Glucose Outflow,54.05,-6,11|11|8,,,2000000000.0,346410161.51377547,2000000000.0,1.0
at,Succinate,71.8,-5,6|3|7,,,106666666.66666667,41633319.989322655,106666666.66666667,1.0
at,Glucose,71.8,-4,15|20|18,,,35333333.333333336,5033222.956847167,35333333.333333336,1.0
at,Succinate+Glucose,71.8,-5,8|6|6,,,133333333.33333333,23094010.767585013,133333333.33333333,1.0
at,Succinate+Glucose Outflow,71.8,-6,4|7|8,,,1266666666.6666667,416333199.89322656,1266666666.6666667,1.0
at,Succinate,77.13,-5,5|9|5,,,126666666.66666664,46188021.535170056,126666666.66666664,1.0
at,Glucose,77.13,-4,30|25|20,30|25|20,,50000000.0,10000000.0,50000000.0,1.0
at,Succinate+Glucose,77.13,-5,5|7|5,,,113333333.33333333,23094010.76758504,113333333.33333333,1.0
at,Succinate+Glucose Outflow,77.13,-6,8|7|7,,,1466666666.6666667,115470053.83792515,1466666666.6666667,1.0
at,Succinate,96.3,-5,3|4|5,,,79999999.99999999,19999999.999999993,79999999.99999999,1.0
at,Glucose,96.3,-5,2|5|3,,,66666666.66666666,30550504.633038927,66666666.66666666,1.0
at,Succinate+Glucose,96.3,-5,10|6|8,,,159999999.99999997,39999999.999999985,159999999.99999997,1.0
at,Succinate+Glucose Outflow,96.3,-6,20|30|35,20|30|35,,5666666666.666667,1527525231.6519468,5666666666.666667,1.0
oa,Succinate,0.0,-5,20|7|15,T0,,279999999.99999994,131148770.48603998,279999999.99999994,1.0
oa,Glucose,0.0,-5,25|26|26,T0,,513333333.3333333,11547005.383792516,513333333.3333333,1.0
oa,Succinate+Glucose,0.0,-5,17|20|16,T0,,353333333.33333325,41633319.989322655,353333333.33333325,1.0
oa,Succinate+Glucose Outflow,0.0,-1,0|0|0,T0,,0.0,0.0,0.0,
oa,Succinate,22.3,-6,4|4|6,T1,,933333333.3333334,230940107.6758503,933333333.3333334,1.0
oa,Glucose,22.3,-4,20|25|22,T1,,44666666.666666664,5033222.956847167,44666666.666666664,1.0
oa,Succinate+Glucose,22.3,-5,20|24|20,T1,,426666666.6666666,46188021.53517009,426666666.6666666,1.0
oa,Succinate+Glucose Outflow,22.3,-7,2|3|3,T1,,5333333333.333333,1154700538.3792515,5333333333.333333,1.0
oa,Succinate,28.3,-5,50|40|45,T2,,900000000.0,100000000.00000006,900000000.0,1.0
oa,Glucose,28.3,-4,17|12|13,T2,,28000000.0,5291502.622129181,28000000.0,1.0
oa,Succinate+Glucose,28.3,-6,2|3|2,T2,,466666666.6666667,115470053.83792515,466666666.6666667,1.0
oa,Succinate+Glucose Outflow,28.3,-6,16|15|20,T2,,3400000000.0,529150262.2129181,3400000000.0,1.0
oa,Succinate,46.0,-6,5|4|5,T3,,933333333.3333334,115470053.83792515,933333333.3333334,1.0
oa,Glucose,46.0,-4,8|8|10,T3,,17333333.333333332,2309401.076758503,17333333.333333332,1.0
oa,Succinate+Glucose,46.0,-6,5|3|3,T3,,733333333.3333334,230940107.6758503,733333333.3333334,1.0
oa,Succinate+Glucose Outflow,46.0,-7,4|2|3,T3,,6000000000.0,2000000000.0,6000000000.0,1.0
oa,Succinate,52.8,-6,10|12|10,T4,,2133333333.3333333,230940107.6758503,2133333333.3333333,1.0
oa,Glucose,52.8,-4,12|8|8,T4,,18666666.666666668,4618802.153517006,18666666.666666668,1.0
oa,Succinate+Glucose,52.8,-6,6|5|4,T4,,1000000000.0,200000000.0,1000000000.0,1.0
oa,Succinate+Glucose Outflow,52.8,-7,4|4|3,T4,,7333333333.333333,1154700538.3792515,7333333333.333333,1.0
oa,Succinate,69.94,-6,8|7|9,T5,,1600000000.0,200000000.0,1600000000.0,1.0
oa,Glucose,69.94,-4,10|15|12,T5,,24666666.666666668,5033222.956847167,24666666.666666668,1.0
